HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
16,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Tagging and color coding are properly done on pipelines, but identification tags are missing on vessels, such as those for SNG, Air, and vapor vessel. It is recommended to affix clear and durable tags on all vessels to ensure proper identification and enhance operational and emergency response safety in line with industry standards.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
17,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,No cabinet was found at the entrance of the LPG storage area for placing mobile phones or other electronic devices. It is recommended to install a dedicated cabinet at the entry point to restrict the entry of potential ignition sources and ensure compliance with hazardous area safety protocols.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
18,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"No PPE cabinet or mandatory personal protective equipmen (PPE) such as helmets, FR suit, anti-static shoes, goggles, or gloves were available at the LPG area. Additionally, PPE complaince is not being followed by personnel. It is strongly recommended to provide a well-stocked PPE cabinet at the entry point and ensure strick enforcement of PPE usage within the LPG storage area for personnel safety and regulatory compliance.",Medium,HSE,Naveed Taqvi,Q3 2026,Pending,
19,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Inaccessible Fire Hydrants in LPG Area:
Fire hydrants in the LPG storage area were found obstructed, making them difficult to access during an emergency. Blocked access can significantly delay emergency response and compromise fire control efforts.  There is need to ensure all fire equipments are eassily accessible, unobstructed, and clearly marked with visible signage. maintain a 1- meter clearance zone around each hydrant at all times in accordance with fire safety standards (e.g. NFPA-25).",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Done,
20,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Absence Of External Fire Brigade Inlet valve:
No external fire brigade connection (inlet valve) was found on the firefighting pipeline in the LPG area. this valve is essential for allowing external fire tenders to pump water into the internal fire hydrant system during a major fire.",High,HSE,Naveed Taqvi,Q3 2026,Pending,
21,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Remove the wire rope from the area to eliminate the potential hazard.
Install a certified lifting mechanism to ensure the safe and compliant handling of equipment during future maintenance activities.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Done,
22,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Recommendation: Emergency exits must remain unobstructed, clearly marked, and easily operable from the inside without the use of keys or tools, in accordance with life safety and OSHA standards.",High,ESD,Adeel Siddiqui  ,Q3 2026,Done,
23,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Ensure immediate arrangement of mandatory PPE (safety helmet, full body harness and gloves) to all the workers at site and assign strong supervision to monitor compliance with PPE usage during each shift.",High,PRJ,Khurram Raza,Immediate,Done,
24,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Need to address these all issues on highest priority, all the work on scaffolding must be stopped, and damaged planks should be replaced with strong and stable ones. Proper railings should be installed, adequate bracing must be added to ensure stability and safe access such as ladders or secured platform should be provided.",High,PRJ,Khurram Raza,Immediate,Done,
25,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"All unsafe electrical connections must be repaired immediately, and loose wiring should be secured to prevent accidental contact. Damaged installations should be replaced with safe and secure condition",High,ESD,Adeel Siddiqui  ,Immediate,Done,
26,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"All open ends must be immediately secured
with sturdy railings and appropriate barricades to prevent falling hazard.",High,PRJ,Khurram Raza,Immediate,Done,
27,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Immediate steps should be taken to clear all walkways and work areas of debris, tools, and materials, ensuring safe passage. All tools, equipment, and materials must be properly stored in designated areas when not in use. Walkways should be clear all the times, with daily housekeeping routines put in place.",Medium,PRJ,Khurram Raza,Immediate,Done,
28,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Need to cover the moving parts of concrete mixer with appropriate guards to prevent any accidental contact. The concrete lifter must be inspected and repaired to restore its functionality and stability, ensuring it is properly aligned and in safe working condition.",High,PRJ,Khurram Raza,Immediate,Done,
29,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Immediate steps must be taken to ensure chemicals are handled strictly according to their Material Safety Data Sheets (MSDS) guidelines. Workers should be provided with the required PPE and trained on proper chemical handling practices, labels and MSDS instructions.",Low,PRJ,Khurram Raza,Immediate,Done,
30,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Prompt measures should be implemented to strictly prohibit the use of open flames for any purpose on-site. A designated and safe cooking area should be established far from combustible materials, equipped with fire extinguishers and other safety measures.",High,PRJ,Khurram Raza,Immediate,Done,
31,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Strick no-smoking policies should be enforced across the construction site, 
especially in areas with flammable or combustible materials. Designated smoking zones, located at a safe distance from hazardous areas, should be established equipped with proper waste disposal facilities.",High,PRJ,Khurram Raza,Immediate,Done,
32,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"Need to provide workers with a proper,
safe shelter for resting, equipped with stable surfaces and protection from environmental hazards like mosquitos.",Low,PRJ,Khurram Raza,Immediate,Done,
33,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,The open corners of lift pit must be immediately barricaded with sturdy guardrails or protective barriers to prevents falls.,High,PRJ,Khurram Raza,Immediate,Done,
34,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"All Loose materials at roof edges must be 
immediately secured or removed to prevent any fall hazard. Regular inspection must be carried out to ensure materials are stored safely, away from edges, and comply with safety protocols",High,PRJ,Khurram Raza,Immediate,Done,
35,02/03/2025,Feburary,Mubashir Mustafa,Critical / Specialist Audit Plan,Audit 3-Bed Site, 3-Bed Site,"A safe and secure access route, 
such as a properly constructed staircase or ladder, must be provided to reach the top floor. The access should be regularly inspected to ensure its stability and safety",Medium,PRJ,Khurram Raza,Immediate,Done,
36,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Ensure immediate cleanup of scattered materials and rollers, and designate specific storage areas for tools and equipment. The accumulated metal shavings from lathe machines should be properly collected in secure containers to avoid sharp edges posing safety risks. Assign a dedicated housekeeping team and provide training to workers on maintaining cleanliness and safe practices in the workplace.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
37,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"The damaged welding leads should be replaced immediately, and regular checks should be conducted to ensure the condition of the leads. All powered tools should be properly earthed according to safety standards, with routine testing to ensure effective earthing. The metal working tables in both AC room and winding room should be properly earthed and equipment that shows signs of wear or has expired parts should be replaced to ensure safety.",High,ESD,Adeel Siddiqui  ,Q3 2026,Done,
38,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Need to install emergency stop buttons on all three lathe machines and the drill machine to ensure quick response in emergencies. Safety covers should be installed on the exposed moving belts of the lathe machines to prevent accidental contact and injuries. And, regular safety checks should be conducted to ensure all safety features are in place and functional.",High,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
39,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Need to repair or replace the non-functional exhaust fans and faulty search light at winding room, and ensure both fans and lights are fully functional to improve airflow, visibility and reduce the risk of harmful fumes accumulation, and buildup of dangerous gases. Regular checks should be performed to ensure ventilation systems are operational, particularly during hot work activities.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
40,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Ensure cylinders are stored with a minimum 10-Feet (3 Meter) Safe distance between different types of gases, as per OSHA guidelines. Use approved stands or trolleys to properly secure cylinders and prevent tripping. Following ISO 11625 standards. Label all cylinders clearly with gas type and attach inspection tags to ensure regular monitoring. Store cylinders away from hot work areas and heat sources, in compliance with NFPA standards, to reduce the risk of fire or explosion. Conduct routine safety inspections and provide training on the proper handling of compressed gas cylinders to minimize risks and ensure compliance with HSE standards.",High,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
41,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"To comply with OSHA's hazard communication standard 
(1910.1200) and ISO 45001, a designated storage area for mobile oil, clearly labeled, must be established away from hot work. All mobile oil containers should be appropriately labeled as hazardous chemicals, and any spills must be cleaned immediately. In the outside workshop, petrol should be stored in approved, labeled containers and kept separate from gas cylinders, as per OSHA and NFPA safety standards. Workers must be trained on proper handling, storage , and disposal of hazardous materials, and routine safety checks should be conducted to ensure continued compliance.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
42,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"To comply with OSHA standards (1910.132) and ISO 45001, 
it is essential to provide workers with the appropriate PPE for their tasks, ensuring that all items are undamaged and suitable for use. A full review of PPE requirements for each task should be carried out, and all necessary protective equipment such as welding sheets, safety helmets safety shoes, gloves and eye protection should be readily available. Any damage PPE must be replaced immediately. Workers should be trained on the proper usage and maintenance of PPE.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Done,
43,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"To address these issues, immediate enforcement of proper PPE usage should be implemented, especially for work at heights and when handling electrical equipment. Workers must be retrained on safety protocols, ensuring they understand the importance of using fall protection, PPE, and following lockout/tagout procedures.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Done,
44,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Need to implement a proper storage system for tools, materials, motors, and rollers, ensuring everything is placed in designated areas and easily accessible.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
45,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Introduce clear labeling and signage to guide workers in identifying storage locations for materials and tools.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
46,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Organize workshops by grouping similar items together and maintaining a tidy work environment to minimize the risk of accidents and ineffiency.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
47,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Provide workers with ergonomic training to improve posture, minimize strain, and encourage safe working practices.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Done,
48,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Need to install the hook lock to avoid the suspended load from falling.,High,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
49,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Replace the damaged lifting web to maintain lifting integrity.,Medium,ESD,Adeel Siddiqui  ,Q3 2026,Done,
50,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Obtain TPI certification for the hoist chain block to ensure its compliance with safety standards.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
51,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Provide workers with appropriate (PPE), including ear protection (Earplugs or earmuffs), to reduce exposure to harmful noise levels.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Done,
52,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Establish a regular maintenance schedule for equipment to ensure they are operating efficiently and minimizing unnecessary noise generation.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
53,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Install noise barriers or covers around the loud machines.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
54,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Need to develop and implement controlled SOPs for all operations related to ESD-sensitive equipment to ensure proper handling and safety practices.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
55,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Ensure that maintenance logs, inspections reports, and risk assessment are created, maintained, and regularly reviewed.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Done,
56,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,"Conduct training sessions to educate workers about the importance of these documents, their roles in maintaining safety, and procedures for handling ESD-sensitive materials and equipment.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Done,
57,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Conduct ERP training of all the workers.,Medium,HSE,Naveed Taqvi,Q3 2026,Done,
58,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Identify and Mark emergency Exits.,Medium,HSE,Naveed Taqvi,Q3 2026,Done,
59,06/01/2025,June,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of ESD Workshops,ESD Workshops,Conduct Emergency Drill,Medium,HSE,Naveed Taqvi,Q3 2026,Done,
60,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Need to repair or replace the push bar locking mechanism to ensure the door can be opened easily in emergencies.,Medium,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
61,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Install self-closing device for the door to ensure it closes automatically after use.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
62,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Clean the firelite glass to restore visibility and ensure compliance with fire safety standards.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
63,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Permanently remove the polythene wrapping and ensure the door remains unobstructed.,Low,ADM IR & HR,Shahid Bashir,Immediate,Done,
64,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Clear all materials blocking access to the emergency exit door.,Medium,Area Owners,Area Managers,Immediate,Done,
65,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Repair or replace the push bar to ensure the door can be easily opened during an emergency evacuation.,Medium,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
66,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Installed new self-closing device to ensure the door closes automatically after being opened.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
67,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Replace or repair the door seals to maintain the fire rating and ensure compliance with fire safety standards.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
68,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,"Clean the door, remove dust,  and repair any dents to restore its physical integrity.",Low,ADM IR & HR,Shahid Bashir,Immediate,Done,
69,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Clean the  firelite glass to ensure it is visible and compliant with safety standards.,Medium,ADM IR & HR,Shahid Bashir,Immediate,WIP,
70,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Need to repair or replace the self-closing device to ensure the door closes within 5 second as per NFPA automatically after being opened.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
71,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Repair or replace the push bar locking mechanism to make the door functional and compliant with safety standards.,Medium,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
72,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Install or restore the firelite logo or label to met the fire safety compliance.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
73,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Address minor rust and dents by cleaning and repairing the affected areas to improve the door's longevity.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,Done,
74,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Ensure the access to emergency exit door always clear without any obstruction as per NFPA requirement.,Medium,Area Owners,Area Managers,Immediate,Done,
75,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Need to repair or replace the push bar mechanism to ensure the door is operational in emergencies.,Medium,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
76,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Clean the firelite glass and install a visible fire rating logo to meet safety compliance.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
77,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,"Address the rust, dents, and dust on the door by cleaning and repairing affected areas to maintain its condition.",Low,ADM IR & HR,Shahid Bashir,Q2 2026,Done,
78,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Repair the door's seals to restore fire-rating compliance.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
79,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Install proper lighting on the roof side to ensure adequate visibility and comply with NFPA standards for emergency egress.,Low,ESD,Adeel Siddiqui  ,Q2 2026,Done,
80,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Replace the broken push bar locking mechanism to ensure the door is fully functional and compliant with safety standards.,Medium,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
81,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,"Repair or adjust the self-closing device to ensure the door closes automatically within 5 seconds, as per NFPA standards.",Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
82,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,"Address dusts, rusts, and dust by cleaning and repairing the door to improve its condition and reliability.",Low,ADM IR & HR,Shahid Bashir,Immediate,Done,
83,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Clean the firelite glass and install a visible fire rating logo to comply with fire safety requirements.,Low,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
84,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Ensure the access to emergency exit door always clear without any obstruction as per NFPA requirement.,Medium,ADM IR & HR,Shahid Bashir,Immediate,Done,
85,05/10/2025,May,Mubashir Mustafa,Critical / Specialist Audit Plan,Inspection Of Emergency Exit Doors,Emergency Exit Doors,Need to repair or replace the panic bar locking mechanism to ensure the door is fully operational during emergencies.,Medium,ADM IR & HR,Shahid Bashir,Q2 2026,WIP,
